,Unnamed: 0,Track,Year,Closest Passage (km),Angle of Passage,close_x,close_y,Vm_max,Vm_rmin,Rm_max,Rm_rmin,Direction,U,V,Max Surge (m),pass_libh
120,120,121,1990,90.47752919371796,279.0347497011942,-74.98899999999998,22.46,56.72773988,18.19588428,116.78,39.65,NW,-0.5779999999999745,0.0940000000000012,0.50477,90.47752919371796
121,121,122,1990,35.321379050090435,37.33804884502435,-74.86399999999998,23.458,48.75385788,28.87059728,112.38,25.41,NW,-0.4279999999999972,0.1739999999999995,0.373108,35.321379050090435
122,122,123,1990,38.07558883326703,79.24695579332827,-75.053,23.602,74.27028028000001,29.86861864,120.23,24.58,NW,-0.1290000000000191,0.0169999999999994,0.824537,38.07558883326703
123,123,124,1991,46.36824883473605,275.2192645279878,-75.07900000000001,22.849,36.59754616,8.102493,120.15,80.96,NW,-0.3240000000000123,0.0210000000000007,0.451155,46.36824883473605
124,124,125,1991,30.075060299191524,130.50954807888405,-75.293,23.471,31.38622844,26.47843268,136.96,37.46,NE,0.0819999999999936,0.4220000000000006,0.711824,30.075060299191524
125,125,126,1991,89.95164961244454,85.61213995615904,-75.055,24.073,64.5369998,50.86822272,130.83,25.77,NW,-0.6519999999999868,0.2940000000000005,0.5047,89.95164961244454
126,126,127,1991,35.22637071854,272.70913600056707,-75.10199999999998,22.948,25.50098908,9.81044708,120.23,69.23,NW,-0.2559999999999718,0.0740000000000016,0.428474,35.22637071854
127,127,128,1991,21.8695353860112,269.12754287709794,-75.12,23.068,42.5959632,23.00593568,116.43,31.69,NW,-0.1050000000000181,0.0120000000000004,0.513379,21.8695353860112
128,128,129,1991,15.916409174181036,146.08828646355812,-75.23599999999999,23.345,39.16976616,5.20102884,120.18,111.36,NW,-0.4130000000000109,0.0549999999999997,0.411668,15.916409174181036
129,129,130,1991,37.4203373849033,268.47020927571845,-75.12599999999998,22.928,66.33240936,38.52671116,112.79,19.14,NW,-0.3100000000000023,0.0600000000000022,0.37818,37.4203373849033
130,130,131,1991,97.69336953959444,243.26026710953508,-75.51299999999998,22.479,32.85753828,26.22635512,116.61,27.91,NW,-0.3479999999999563,0.1839999999999975,0.464543,97.69336953959444
131,131,132,1991,45.99808392748702,221.57612875506803,-75.42700000000002,22.99,26.174910720000003,19.6260386,118.58,36.91,NE,0.1339999999999577,0.6499999999999986,0.668951,45.99808392748702
132,132,133,1991,27.30374380922787,140.9400372522987,-75.30799999999999,23.42,64.13573348,21.02018184,140.78,60.48,NW,-0.0469999999999686,0.434000000000001,0.429746,27.30374380922787
133,133,134,1991,87.66751610488333,260.08447333449044,-75.25299999999999,22.487,24.45152332,12.92283328,120.14,54.41,NW,-0.3319999999999936,0.0649999999999977,0.430635,87.66751610488333
134,134,135,1991,82.36364553612304,229.59133771335385,-75.59800000000001,22.7,16.88405208,16.554807920000002,119.5,58.32,NW,-0.1519999999999868,0.1189999999999997,0.403087,82.36364553612304
135,135,136,1991,63.02542465545057,147.149576019547,-75.594,23.573,54.07320884,20.865848640000003,119.92,34.81,SW,-0.2939999999999827,-0.3079999999999998,0.521733,63.02542465545057
